"","code","year","data_level","cpi","ppp2021"
"1","AGO","2000","national",0.00658098496279651,203.688736
"2","AGO","2008","national",0.140636450448732,203.688736
"3","AGO","2018","national",0.571606030527844,203.688736
"4","ALB","1996","national",0.372476609889224,50.77230453
"5","ALB","2002","national",0.653954785412687,50.77230453
"6","ALB","2005","national",0.702719968891262,50.77230453
"7","ALB","2008","national",0.764380297642933,50.77230453
"8","ALB","2012","national",0.854852362971777,50.77230453
"9","ALB","2014","national",0.885584231004626,50.77230453
"10","ALB","2015","national",0.902376435378451,50.77230453
"11","ALB","2016","national",0.913885667107707,50.77230453
"12","ALB","2017","national",0.932041474443909,50.77230453
"13","ALB","2018","national",0.950943790127759,50.77230453
"14","ALB","2019","national",0.964362461538195,50.77230453
"15","ALB","2020","national",0.979993712247761,50.77230453
"16","ARE","2013","national",0.922829019415991,2.727601767
"17","ARE","2018","national",1.03947441156661,2.727601767
"18","ARG","1980","national",0.012632220455265,42.98624039
"19","ARG","1986","national",0.00323779343153018,42.98624039
"20","ARG","1987","national",0.00749013947917595,42.98624039
"21","ARG","1991","national",75.6890040888488,42.98624039
"22","ARG","1992","national",0.00893043779249633,42.98624039
"23","ARG","1993","national",0.00972270090784824,42.98624039
"24","ARG","1994","national",0.0100817838595095,42.98624039
"25","ARG","1995","national",0.0103004722497916,42.98624039
"26","ARG","1996","national",0.0103215547238128,42.98624039
"27","ARG","1997","national",0.0103804816627928,42.98624039
"28","ARG","1998","national",0.0104953056397404,42.98624039
"29","ARG","1999","national",0.0102823010025692,42.98624039
"30","ARG","2000","national",0.0102104623091647,42.98624039
"31","ARG","2001","national",0.0100949744983356,42.98624039
"32","ARG","2002","national",0.013980291108795,42.98624039
"33","ARG","2003","national",0.0145301576928708,42.98624039
"34","ARG","2004","national",0.0153383191970193,42.98624039
"35","ARG","2005","national",0.0169899695407599,42.98624039
"36","ARG","2006","national",0.0187482845147968,42.98624039
"37","ARG","2007","national",0.0229537621489957,42.98624039
"38","ARG","2008","national",0.028807117028661,42.98624039
"39","ARG","2009","national",0.0328310742945198,42.98624039
"40","ARG","2010","national",0.0409007828510635,42.98624039
"41","ARG","2011","national",0.0497658553812616,42.98624039
"42","ARG","2012","national",0.0623770505479995,42.98624039
"43","ARG","2013","national",0.07902740761972,42.98624039
"44","ARG","2014","national",0.110914429040637,42.98624039
"45","ARG","2016","national",0.196619395325451,42.98624039
"46","ARG","2017","national",0.241862659503681,42.98624039
"47","ARG","2018","national",0.34236049308218,42.98624039
"48","ARG","2019","national",0.524079353933784,42.98624039
"49","ARG","2020","national",0.723142379878119,42.98624039
"50","ARG","2021","national",1.09652900394612,42.98624039
"51","ARG","2022","national",2.02925740259679,42.98624039
"52","ARG","2023","national",5.10062535297667,42.98624039
"53","ARG","2024","national",14.6476395509064,42.98624039
"54","ARM","1996","national",0.375090825208472,164.2264862
"55","ARM","1999","national",0.467538719332167,164.2264862
"56","ARM","2001","national",0.478433062216071,164.2264862
"57","ARM","2002","national",0.483504683058269,164.2264862
"58","ARM","2003","national",0.50633361894343,164.2264862
"59","ARM","2004","national",0.541562638932761,164.2264862
"60","ARM","2005","national",0.545034875900072,164.2264862
"61","ARM","2006","national",0.560777349453372,164.2264862
"62","ARM","2007","national",0.585522366493613,164.2264862
"63","ARM","2008","national",0.637926374878333,164.2264862
"64","ARM","2009","national",0.65965451958106,164.2264862
"65","ARM","2010","national",0.713600582936414,164.2264862
"66","ARM","2011","national",0.768191092863134,164.2264862
"67","ARM","2012","national",0.787841568388156,164.2264862
"68","ARM","2013","national",0.833454959897533,164.2264862
"69","ARM","2014","national",0.858302820527646,164.2264862
"70","ARM","2015","national",0.890332038342529,164.2264862
